label_combination,gene_level_rows
Cell_body,13467
"Cell_body,Cytoplasm",3531
Neurite,3333
Synap,3260
Neuropil,2516
Axon,1647
"Cell_body,Ribosome",1561
"Cell_body,Neuropil,Ribosome",1457
"Axon,Ribosome",1321
Dendrite,1239
"Cell_body,Neurite",625
"Neuropil,Ribosome",616
"Cell_body,Dendrite",221
Cytoplasm,184
"Ribosome,Synap",152
Ribosome,38
"Axon,Cell_body",15
"Cell_body,Neuropil",13
"Axon,Dendrite",12
"Cytoplasm,Ribosome",10
"Axon,Cell_body,Dendrite",8
"Axon,Cytoplasm",7
"Dendrite,Neurite",7
"Dendrite,Synap",6
"Axon,Neurite",5
"Cell_body,Dendrite,Neurite",4
"Axon,Cell_body,Neurite",4
"Axon,Synap",3
"Neurite,Synap",3
"Cell_body,Synap",3
"Cell_body,Dendrite,Synap",3
"Axon,Cell_body,Dendrite,Neurite,Synap",3
"Cell_body,Neurite,Synap",3
"Cell_body,Dendrite,Neurite,Synap",2
"Axon,Dendrite,Neurite,Synap",2
"Axon,Dendrite,Synap",2
"Axon,Cell_body,Dendrite,Synap",2
"Cytoplasm,Dendrite",2
"Cytoplasm,Neurite",2
"Axon,Cell_body,Cytoplasm,Dendrite,Neurite",1
"Axon,Cytoplasm,Dendrite,Synap",1
"Cell_body,Cytoplasm,Neurite",1
"Cell_body,Cytoplasm,Dendrite,Synap",1
"Cytoplasm,Synap",1
"Axon,Cytoplasm,Neurite",1
"Axon,Neurite,Synap",1
"Axon,Cytoplasm,Ribosome",1
"Axon,Cell_body,Dendrite,Neurite,Ribosome,Synap",1
"Cell_body,Neurite,Ribosome",1
"Dendrite,Neurite,Synap",1
"Axon,Cell_body,Synap",1
"Cell_body,Dendrite,Ribosome,Synap",1
"Axon,Cell_body,Neurite,Ribosome",1
"Neurite,Ribosome",1
"Dendrite,Neurite,Ribosome",1
"Axon,Cell_body,Dendrite,Neurite",1
"Axon,Dendrite,Neurite",1
