source_file,gene_level_rows,genes,species,Axon,Cell_body,Cytoplasm,Dendrite,Neurite,Neuropil,Ribosome,Synap
Loedige2023_transcript_sequences,6687,6687,mouse,0,3524,3524,0,3163,0,0,0
Perez_supp3_celltype_transcript_sequences,5046,5046,rat,0,4826,0,413,0,0,0,0
Middleton_DE_only_recomputed_transcript_sequences,4916,4916,mouse,0,4578,0,338,0,0,0,0
Ouwenga2017_inline_supp_SNFvsWCH_PValue005_transcript_sequences,3705,3705,mouse,0,314,0,0,0,0,466,3391
Biever2020_dual_location_transcript_sequences,3320,3320,mouse,0,2704,0,0,0,2073,3320,0
June2023_bulk_only_not_in_strict_axon_ribosome_transcript_sequences,2668,2668,mouse,1508,1160,0,0,0,0,0,0
Tushev2018_isoform_transcript_sequences,2465,2465,mouse,0,852,0,0,0,1626,0,0
Cajigas2012_bulk_transcript_sequences,1168,1168,rat,0,535,0,0,0,633,0,0
Shigeoka2016_axon_ribosome_transcript_sequences,1163,1163,mouse,1163,0,0,0,0,0,1163,0
Gork2021_bulk_transcript_sequences,1016,1016,mouse,0,751,0,0,0,265,0,0
Perez_GSE157204_rat_transcript_sequences,967,967,rat,0,634,0,333,0,0,0,0
Ciolli_TableS2_isoforms_transcript_sequences,593,593,mouse,0,591,0,0,582,0,0,0
mart_mouse_rat_localization_transcript_sequences,478,416,"mouse,rat",173,195,0,130,78,0,43,50
Middleton_TableS7_isoDend_transcript_sequences,298,298,mouse,0,0,0,298,0,0,0,0
Human_neuronal_localization_all_transcript_sequences,289,289,human,41,27,219,10,19,0,14,11
Biever2020_bulk_only_not_in_dual_transcript_sequences,202,202,mouse,0,197,0,0,0,5,0,0
Mikl2022_isoform_transcript_sequences,170,170,mouse,0,43,0,0,163,0,0,0
June2023_strict_axon_ribosome_transcript_sequences,156,156,mouse,156,0,0,0,0,0,156,0
